Brisbane suburbs,Category,lat,lon,Population ,Avg Income,Median House Price
Acacia Ridge,Southern,-27.589633,153.02787,6944,619,403843
Albion,Northern,-27.428026,153.045205,1986,984,816117
Alderley,Northern,-27.424422,153.000517,5680,1040,817877
Algester,Southern,-27.611303,153.033518,8262,782,531232
Annerley,Southern,-27.511609,153.031832,10664,884,743990
Anstead,Western,-27.545591,152.87227,1529,998,744588
Archerfield,Southern,-27.568388,153.024165,510,685,389395
Ascot,Northern,-27.43027,153.058679,5730,1081,1531249
Ashgrove,Western,-27.445603,152.99212,12916,1033,966804
Aspley,Northern,-27.36386,153.015737,12594,851,616588
Auchenflower,Western,-27.475531,152.993415,5351,1053,1062402
Bald Hills,Northern,-27.306169,153.0126,5964,773,442621
Balmoral,Eastern,-27.455696,153.06722,3827,1110,996219
Banyo,Northern,-27.375825,153.076469,5607,814,541589
Bardon,Western,-27.463451,152.980035,9256,1093,952487
Bellbowrie,Western,-27.561999,152.886806,5413,930,518465
Belmont,Eastern,-27.504978,153.131443,4594,936,703804
Boondall,Northern,-27.348677,153.060157,8746,763,520992
Bowen Hills,Inner,-27.444163,153.038407,1744,997,856699
Bracken Ridge,Northern,-27.327545,153.025938,16799,804,522434
Bridgeman Downs,Northern,-27.354965,152.994198,7445,1004,782996
Brighton,Northern,-27.306516,153.050851,9011,802,521695
Brisbane,Inner,-27.46758,153.027892,7888,1134,715328
Brookfield,Western,-27.490924,152.897741,3702,1059,1106664
Bulimba,Eastern,-27.451514,153.060361,5940,1200,1217211
Burbank,Southern,-27.558921,153.163912,1137,966,1333318
Calamvale,Southern,-27.623928,153.050074,15291,815,682224
Camp Hill,Eastern,-27.493015,153.076507,10533,1028,871629
Cannon Hill,Eastern,-27.469678,153.097305,4507,908,716299
Carina,Eastern,-27.495728,153.088686,10301,889,662967
Carina Heights,Eastern,-27.503852,153.090545,6111,857,679995
Carindale,Eastern,-27.505783,153.102356,15577,924,889353
Carseldine,Northern,-27.346256,153.01394,8745,865,661224
Chandler,Eastern,-19.262174,146.779764,1421,956,1374398
Chapel Hill,Western,-27.502593,152.950156,10167,1037,778839
Chelmer,Western,-27.514343,152.976732,2593,1091,1142473
Chermside,Northern,-27.38613,153.032142,8170,793,596048
Chermside West,Northern,-27.37862,153.018257,6120,849,592042
Chuwar,Western,-27.563424,152.78219,1876,889,470184
Clayfield,Northern,-27.417536,153.056677,10006,1029,1151292
Coopers Plains,Southern,-27.570271,153.037201,4207,703,558606
Coorparoo,Eastern,-27.495194,153.057903,14944,996,873902
Corinda,Western,-27.538924,152.981769,4695,918,793294
Darra,Southern,-27.567027,152.95327,3838,653,459754
Deagon,Northern,-27.327255,153.055845,3459,751,472102
Doolandella,Southern,-27.612032,152.979454,3104,748,483738
Drewvale,Southern,-27.639126,153.049533,3943,839,612356
Durack,Southern,-27.591662,152.985997,6177,642,430047
Dutton Park,Southern,-27.498009,153.024704,1471,758,961298
East Brisbane,Inner,-27.479652,153.045983,5598,965,876015
Eight Mile Plains,Southern,-27.575233,153.087585,13378,823,776984
Ellen Grove,Southern,-27.612653,152.950579,2527,567,287993
Enoggera,Western,-27.42446,152.985565,5034,930,686754
Enoggera Reservoir,Western,-27.429865,152.864844,22,1003,849918
Everton Park,Northern,-27.406931,152.992265,8325,851,598275
Fairfield,Southern,-27.509925,153.024761,2553,876,728395
Ferny Grove,Northern,-27.405213,152.930694,5609,892,604882
Fig Tree Pocket,Western,-27.52507,152.956492,3652,1112,1000892
Fitzgibbon,Northern,-27.349074,153.031804,3287,833,477093
Forest Lake,Southern,-27.623956,152.970063,22426,849,441430
Fortitude Valley,Inner,-27.457442,153.03367,5615,1062,911607
Gaythorne,Northern,-27.418369,152.986155,2654,931,673111
Geebung,Northern,-27.369382,153.047819,4619,802,540750
Gordon Park,Northern,-27.414955,153.026877,4015,1043,822514
Graceville,Western,-27.524939,152.980993,4213,1058,878335
Grange,Northern,-27.426001,153.01479,4163,1088,908518
Greenslopes,Southern,-27.512111,153.053021,8564,925,802293
Gumdale,Eastern,-27.490918,153.153345,949,978,1051242
Hamilton,Northern,-27.439306,153.064277,4720,1131,1220765
Hawthorne,Eastern,-27.462031,153.060373,4776,1133,1275225
Heathwood,Southern,-27.642378,152.985253,1820,999,576073
Hemmant,Eastern,-27.448586,153.12701,2593,823,508861
Hendra,Northern,-27.419238,153.073694,4416,1045,981955
Herston,Inner,-27.4446,153.018473,1831,915,839814
Highgate Hill,Inner,-27.487699,153.018947,5823,899,1152967
Holland Park,Southern,-27.519259,153.061369,7848,914,733388
Holland Park West,Southern,-27.525519,153.061269,5965,940,741835
Inala,Southern,-27.597301,152.974413,13795,501,358343
Indooroopilly,Western,-27.497247,152.973849,11669,951,924153
Jamboree Heights,Western,-27.5564,152.93284,3057,850,501329
Jindalee,Western,-27.534316,152.934935,5111,924,574539
Kangaroo Point,Inner,-27.476067,153.035642,6999,1086,866431
Karana Downs,Western,-27.543598,152.824253,3825,930,484848
Karawatha,Southern,-27.617514,153.09356,33,316,746292
Kedron,Northern,-27.408347,153.032292,8593,930,703271
Kelvin Grove,Inner,-27.448419,153.013533,6017,855,820939
Kenmore,Western,-27.507532,152.939045,8482,985,663747
Kenmore Hills,Western,-27.49615,152.926702,2576,1021,911130
Keperra,Northern,-27.40916,152.958106,6653,786,535843
Kholo,Western,-27.52257,152.765742,398,895,597796
Kuraby,Southern,-27.606379,153.092491,7776,829,692961
Lota,Eastern,-27.465277,153.18128,3254,878,619631
Lutwyche,Northern,-27.422714,153.033723,2801,950,797371
Lytton,Eastern,-27.4243,153.15545,6,563,614342
Macgregor,Southern,-27.567572,153.07787,5576,690,769838
Mackenzie,Southern,-27.54678,153.124568,1845,970,767975
Manly,Eastern,-27.454266,153.185335,3701,926,836845
Manly West,Eastern,-27.468021,153.163106,11194,842,594809
Mansfield,Southern,-27.53938,153.099025,8473,787,680301
McDowall,Northern,-27.381917,152.988262,6818,963,688691
Middle Park,Western,-27.555076,152.923851,4026,919,622294
Milton,Western suburbs,-27.471324,153.004781,1987,1052,902355
Mitchelton,Northern,-27.410888,152.974465,8011,912,635639
Moggill,Western,-27.570335,152.874633,3606,1011,571852
Moorooka,Southern,-27.532844,153.025089,9984,847,646356
Morningside,Eastern,-27.468144,153.071979,9399,1013,755753
Mount Crosby,Western,-27.540043,152.804494,1729,1024,574370
Mount Gravatt,Southern,-27.542262,153.07386,3237,821,666457
Mount Gravatt East,Southern,-27.523967,153.080225,10891,857,639905
Mount Ommaney,Western,-27.548455,152.936478,2333,983,884793
Murarrie,Eastern,-27.464118,153.109052,3957,960,607746
Nathan,Southern,-27.553179,153.056433,1396,625,625304
New Farm,Inner,-27.467878,153.047052,11330,1087,1424082
Newmarket,Northern,-27.436957,153.006875,4444,963,869300
Newstead,Inner,-27.444768,153.043053,836,1344,1170288
Norman Park,Eastern,-27.483205,153.064346,6002,1117,910021
Northgate,Northern,-27.389718,153.066343,4304,899,613346
Nudgee,Northern,-27.368598,153.087192,2855,862,605485
Nudgee Beach,Northern,-27.347485,153.105548,260,832,720071
Nundah,Northern,-27.40344,153.060428,10386,920,721899
Oxley,Western,-27.552877,152.974715,7291,838,547817
Paddington,Inner,-27.460527,153.002486,7986,1122,1139149
Pallara,Southern,-27.618159,153.000017,614,732,589132
Parkinson,Southern,-27.629536,153.04037,9538,891,664635
Pinjarra Hills,Western,-27.539621,152.903445,662,870,917123
Pinkenba,Northern,-27.42257,153.118782,349,812,661988
Pullenvale,Western,-27.51695,152.891085,3174,1153,1113139
Ransome,Eastern,-27.486615,153.180841,478,905,1040687
Red Hill,Inner,-27.454711,153.006691,5546,1072,888375
Richlands,Southern,-27.594029,152.948466,2077,718,479524
Riverhills,Western,-27.560496,152.909012,3818,900,499792
Robertson,Southern,-27.565733,153.057213,4867,720,1003527
Rochedale,Southern,-27.571214,153.12691,1091,819,1029620
Rocklea,Southern,-27.544658,153.013818,1255,691,423229
Runcorn,Southern,-27.588287,153.085259,14074,762,574068
Salisbury,Southern,-27.544798,153.029585,6096,786,605137
Sandgate,Northern,-27.321538,153.069267,4625,822,662880
Seven Hills,Eastern,-27.480712,153.081335,2028,1010,802873
Seventeen Mile Rocks,Western,-27.550889,152.958818,2969,1063,644011
Sherwood,Western,-27.532449,152.982957,4997,1010,902565
Shorncliffe,Northern,-27.327589,153.086102,1914,889,785682
Sinnamon Park,Southern,-27.539217,152.952644,6361,966,737448
South Brisbane,Inner,-27.474492,153.017391,5416,964,994062
Spring Hill,Inner,-27.460873,153.024454,5258,1013,905613
St Lucia,Western,-27.493869,153.006059,11194,722,1079397
Stafford,Northern,-27.409722,153.011256,6041,849,598342
Stafford Heights,Northern,-27.391247,153.011369,6779,819,590698
Stretton,Southern,-27.615366,153.070228,4067,833,917266
Sumner,Southern,-27.563657,152.93626,540,888,492134
Sunnybank,Southern,-27.578146,153.054514,8090,690,773968
Sunnybank Hills,Southern,-27.611448,153.054261,16830,737,696700
Taigum,Northern,-27.351215,153.046149,5618,768,536009
Taringa,Western,-27.490788,152.979036,7175,958,962492
Tarragindi,Southern,-27.531675,153.044982,9964,960,776961
Tennyson,Southern,-27.524513,153.001769,859,1215,773504
The Gap,Western,-27.443306,152.943847,15949,965,700204
Tingalpa,Eastern,-27.465869,153.133779,8539,855,544541
Toowong,Western,-27.485567,152.992096,11255,979,876507
Upper Brookfield,Western,-27.485601,152.859062,654,1008,974717
Upper Kedron,Western,-27.415979,152.913444,3431,979,668645
Upper Mount Gravatt,Southern,-27.557821,153.080206,8852,751,635271
Virginia,Northern,-27.36946,153.062076,2061,889,572889
Wacol,Southern,-27.590778,152.929768,2957,631,399069
Wakerley,Eastern,-27.476266,153.165793,7802,1083,731673
